[2025-08-22 12:02:41] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/ from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:03:27] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/ from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:05:20] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/ from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:05:25] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/ from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:21:52] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/login from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:21:56] Host: null, User: shandy, Windows: 10.16 - Request: POST /jsp-shop/login from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:21:56] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/product from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:23:17] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/ from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:23:21] Host: null, User: shandy, Windows: 10.16 - Request: POST /jsp-shop/login from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:23:21] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/product from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:23:26] Host: null, User: shandy, Windows: 10.16 - Request: POST /jsp-shop/logout from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:23:26] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/login from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:23:29] Host: null, User: shandy, Windows: 10.16 - Request: POST /jsp-shop/login from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:23:29] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/product from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:23:31] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/product from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:26:39] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/ from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:26:43] Host: null, User: shandy, Windows: 10.16 - Request: POST /jsp-shop/login from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:26:43] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/product from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:26:46] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/product from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:26:50] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/home from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:28:32] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/home from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:28:33] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/product from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:29:04] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/product from IP: 0:0:0:0:0:0:0:1
[2025-08-22 12:29:05] Host: null, User: shandy, Windows: 10.16 - Request: GET /jsp-shop/product from IP: 0:0:0:0:0:0:0:1
